temperature_celsius,ice_cream_units_sold
13.7,116
37.9,236
28.7,219
23.1,181
4.6,37
4.6,59
0.4,29
34.4,239
23.2,132
27.7,188
-1.1,27
38.7,208
33.0,185
6.9,18
5.6,43
5.7,61
10.8,105
20.0,133
16.1,138
10.2,50
23.7,122
3.9,36
10.3,81
13.4,92
17.2,77
31.0,193
6.4,29
19.6,141
22.9,154
-0.0,0
23.5,142
5.2,26
0.7,18
37.9,252
38.6,221
32.0,209
10.8,68
2.1,13
26.7,168
16.5,92
3.1,23
18.8,102
-0.6,47
36.2,226
8.9,54
25.8,169
11.1,77
19.8,126
21.0,148
5.8,62
38.7,230
30.6,182
37.5,227
35.6,180
23.1,122
36.7,253
1.7,55
6.2,47
-0.1,25
11.7,88
14.3,154
9.4,90
32.8,203
13.0,73
9.8,43
20.8,139
3.9,24
31.7,173
1.1,10
39.4,224
30.4,222
6.3,68
-1.8,5
32.2,229
27.7,177
28.6,165
30.4,219
1.1,31
13.1,72
2.9,28
34.3,198
24.2,130
11.9,101
0.7,53
11.1,54
11.7,93
28.6,169
24.8,150
35.3,209
17.8,103
3.0,33
28.0,162
30.0,194
21.6,139
30.4,187
18.7,107
20.0,120
16.0,121
-0.9,19
2.5,12
-0.7,13
24.7,172
11.2,50
19.4,137
36.1,213
8.5,74
15.2,90
29.7,155
7.6,30
1.2,23
10.2,79
4.8,26
37.0,241
31.9,170
24.6,157
34.6,194
31.8,187
5.8,50
35.5,205
20.7,128
31.9,218
35.6,211
11.4,96
2.6,10
7.6,68
15.9,133
32.4,158
34.2,199
-1.7,15
19.5,124
15.5,112
7.3,47
3.0,34
12.2,83
37.6,254
11.6,87
19.8,136
27.5,167
13.3,83
38.8,232
38.4,245
8.6,57
18.9,130
10.6,114
10.0,88
-0.5,7
23.6,174
19.1,119
0.2,0
9.7,53
36.1,191
8.1,55
4.1,39
18.6,153
39.4,249
8.2,58
26.2,182
30.0,149
8.0,66
28.6,195
13.4,66
24.6,178
24.6,164
20.5,126
1.8,37
33.1,248
11.5,85
5.8,53
-0.3,5
22.8,132
26.5,183
-1.3,0
19.5,129
7.5,50
25.1,169
5.3,52
27.0,190
14.2,88
37.3,227
3.8,19
12.3,78
2.8,38
36.8,242
34.8,201
8.8,82
25.7,189
32.3,210
21.3,172
20.2,118
8.2,40
1.9,0
35.7,249
35.8,235
24.6,157
12.2,91
12.7,68
28.5,224
35.7,224
35.3,221
30.8,206
25.0,168
1.5,28
4.8,29
35.7,231
23.5,185
-1.6,30
2.3,57
25.9,156
-1.8,0
4.8,40
21.0,138
27.1,192
25.4,132
7.4,86
27.9,174
8.0,54
11.7,64
29.4,155
25.3,176
33.7,212
