study_hours_per_week,pass
1.9,0
19.5,1
11.0,1
18.1,1
24.4,1
13.5,1
12.5,1
1.8,0
6.7,0
12.5,1
17.0,1
20.1,1
9.5,0
1.6,0
7.2,0
22.7,0
5.3,0
11.3,1
23.3,1
0.6,0
15.0,0
23.8,1
5.8,0
13.7,0
22.7,1
3.3,0
13.1,1
18.8,1
16.7,1
11.7,1
5.1,1
12.3,1
9.3,0
11.9,0
9.1,0
20.9,1
19.2,1
7.8,0
14.3,1
6.9,1
11.3,0
8.8,0
16.4,1
9.3,0
11.5,0
18.0,1
10.3,0
22.7,1
4.5,0
18.5,1
10.6,0
10.7,1
15.9,1
13.1,1
10.4,1
0.0,0
2.3,0
17.7,1
13.1,1
17.4,1
23.9,1
17.1,1
1.3,0
7.7,1
14.8,1
5.9,0
24.1,1
23.6,1
21.2,1
11.8,1
21.0,1
3.3,0
7.7,0
11.6,1
18.5,1
12.1,1
3.4,0
8.6,1
8.1,1
7.5,1
4.1,0
10.4,0
11.2,1
19.4,1
19.9,1
13.1,1
11.5,1
19.5,1
22.2,1
16.9,1
20.0,1
23.5,1
1.0,0
21.9,1
6.9,0
11.9,1
19.9,1
17.9,1
3.7,0
16.5,1
1.7,0
8.9,0
20.3,1
10.7,1
15.0,1
18.2,1
20.5,1
19.0,1
0.2,0
10.5,0
11.6,1
1.4,0
13.5,1
15.2,1
20.7,1
23.5,1
3.2,0
5.8,1
16.5,1
3.3,0
5.6,0
14.4,1
4.2,0
19.6,1
21.4,1
0.8,0
13.3,1
19.9,1
24.4,1
6.9,0
4.2,0
21.9,1
22.7,1
4.9,0
11.0,0
18.0,1
21.1,1
4.2,0
16.6,1
20.2,1
13.7,1
4.1,0
0.9,0
7.0,1
20.2,1
1.1,0
0.2,0
9.0,1
1.6,0
3.7,0
0.6,0
13.1,1
17.4,1
10.7,0
3.4,0
8.3,0
14.8,1
23.5,1
24.8,1
6.0,1
0.3,0
20.8,1
23.2,1
11.5,0
19.3,1
21.7,1
15.2,1
21.8,1
0.6,0
6.8,0
6.9,0
3.0,0
22.8,1
0.8,0
16.8,1
1.8,0
9.0,0
10.5,1
4.5,0
13.0,1
13.4,1
7.9,0
