study_hours_per_week,attendance_percentage,previous_exam_score,pass
4.5,97.9,73.1,0
0.5,79.3,65.0,1
11.6,68.8,67.4,0
18.1,84.2,55.1,1
10.5,73.7,33.7,0
12.1,83.9,52.9,1
0.3,94.8,67.6,1
12.2,71.0,64.9,0
23.5,82.7,76.2,1
21.3,82.2,62.4,1
18.2,92.0,22.9,0
2.7,83.9,77.5,0
22.3,75.5,49.2,1
21.4,65.4,39.3,1
4.1,79.4,58.1,0
15.8,59.3,38.9,0
0.5,84.8,70.5,0
2.9,75.9,46.9,0
7.9,83.2,99.4,1
3.9,67.2,59.2,1
19.0,63.0,53.6,1
20.5,61.3,51.7,1
8.6,91.6,24.1,1
8.0,71.7,47.7,1
2.8,71.5,49.8,0
2.1,48.2,57.6,0
17.8,74.1,23.0,0
15.0,30.0,64.4,0
1.4,95.4,87.3,1
12.0,71.4,55.9,1
10.0,75.3,62.8,0
21.2,53.6,71.6,1
17.9,58.6,49.1,1
15.1,84.1,55.8,1
13.8,71.9,81.4,1
23.7,81.4,67.4,1
24.7,94.1,41.5,1
8.5,84.9,31.3,0
6.0,46.5,100.0,1
19.9,60.2,72.3,1
1.6,58.0,35.1,0
9.1,61.4,67.1,1
1.8,43.8,76.7,0
8.0,44.2,66.5,0
1.8,63.8,30.0,0
7.3,66.0,97.6,1
19.8,82.7,75.4,1
22.6,70.1,60.9,1
19.8,96.3,77.0,1
14.0,47.6,60.5,1
15.4,54.1,58.5,1
9.0,78.7,81.0,1
4.2,70.9,28.4,0
10.9,60.2,83.1,1
18.3,86.5,72.1,1
1.6,91.3,78.7,1
0.5,94.6,81.6,1
19.3,69.0,93.4,1
7.5,74.9,91.4,1
17.5,78.4,81.2,1
18.4,75.8,58.0,1
23.3,90.3,77.7,1
10.0,67.6,56.4,1
9.0,80.5,47.7,0
20.2,41.8,73.6,1
19.1,86.3,71.8,1
16.3,99.6,87.1,1
20.3,74.6,26.1,1
16.1,90.5,76.3,1
23.9,50.0,77.7,1
8.3,70.0,67.5,0
18.5,51.8,92.6,1
23.7,79.8,49.5,1
8.4,82.8,71.7,1
15.3,54.4,58.7,1
9.1,62.3,65.3,1
11.5,66.2,47.9,0
1.9,100.0,63.1,0
0.5,73.9,78.0,0
19.0,76.8,67.9,1
11.3,80.4,72.0,1
15.6,79.4,51.6,1
18.5,71.4,94.7,1
10.5,55.0,52.9,0
9.2,64.8,66.1,0
4.2,99.5,76.5,1
19.8,78.8,62.4,1
20.8,69.4,79.6,1
18.4,54.7,69.3,0
21.9,74.1,96.9,1
16.2,75.5,75.8,1
17.4,65.2,73.0,1
4.8,88.4,51.0,1
19.2,66.1,74.2,1
8.4,72.5,84.1,1
10.9,87.6,73.3,1
8.0,78.3,48.7,0
14.2,91.8,55.7,1
16.5,71.5,61.4,1
14.4,68.5,66.0,1
8.0,82.0,40.4,0
5.5,78.2,99.8,1
21.1,92.8,63.8,1
7.6,81.1,67.7,1
11.0,74.6,57.5,1
2.3,81.7,64.8,0
7.5,84.8,100.0,1
2.1,58.2,48.2,0
8.6,72.8,56.0,0
17.7,70.0,46.6,1
24.3,93.0,55.4,1
15.6,67.7,93.3,1
6.7,91.0,53.9,0
16.4,56.0,57.1,0
15.7,74.2,32.5,1
20.6,91.0,58.8,1
13.3,71.1,69.5,1
22.8,92.3,56.5,1
10.4,44.6,58.1,0
7.2,75.4,79.9,1
13.0,77.4,74.9,1
23.1,73.1,63.5,1
18.1,52.4,51.1,0
12.3,85.0,38.0,1
12.4,40.0,95.9,1
16.2,89.2,37.3,1
11.2,79.4,77.1,1
13.8,89.8,61.8,1
24.3,71.2,52.1,1
23.3,58.3,81.4,1
21.0,67.3,51.9,1
3.2,68.0,88.3,0
13.9,84.0,46.7,1
9.2,70.3,74.3,1
22.8,81.2,88.5,1
7.8,82.3,47.9,1
23.3,96.3,100.0,1
6.0,45.2,80.9,0
10.5,69.0,25.4,0
24.0,85.4,90.6,1
14.9,85.4,100.0,1
23.3,66.7,60.7,1
13.5,71.2,61.9,1
5.7,73.7,72.2,0
17.8,77.1,31.0,0
13.0,66.7,68.2,1
12.6,65.6,82.3,1
3.4,58.4,55.5,0
3.6,69.5,85.6,1
23.2,96.0,100.0,1
23.9,61.0,29.9,1
24.1,89.7,32.6,1
8.9,100.0,52.6,1
1.1,78.4,76.8,0
13.8,100.0,72.3,1
18.4,73.3,48.8,1
16.2,100.0,44.8,1
1.3,74.7,52.1,0
5.8,57.3,96.1,1
17.6,80.7,48.1,1
1.4,100.0,54.8,0
21.2,66.7,82.6,1
24.7,82.7,60.5,1
6.2,60.6,47.4,1
1.4,62.3,91.3,1
24.5,82.4,71.4,1
19.2,72.8,53.0,1
11.4,84.1,58.5,0
12.0,94.7,82.3,1
22.9,58.0,58.9,1
8.9,65.4,70.2,0
1.3,76.3,81.6,0
15.3,100.0,83.6,1
7.8,70.9,32.3,0
17.0,68.5,56.8,1
23.7,82.3,59.6,1
9.0,100.0,67.5,1
6.2,67.1,79.6,1
1.3,71.3,86.9,0
20.8,76.5,57.5,1
2.0,87.3,45.8,0
23.8,100.0,69.3,1
17.7,57.3,55.0,1
22.8,51.1,97.2,1
20.4,78.4,72.4,1
4.8,84.1,66.9,0
4.4,42.7,83.9,0
24.0,66.9,54.1,1
7.3,90.6,59.8,1
19.8,68.3,62.8,1
4.3,83.5,77.8,0
7.5,78.9,89.5,1
16.8,86.0,80.3,1
6.2,82.8,79.7,1
18.8,80.2,62.0,1
22.0,95.0,72.8,1
8.0,68.0,61.8,0
7.5,78.3,86.9,1
0.7,93.4,54.7,0
10.6,68.0,64.7,1
1.6,70.9,70.4,0
14.4,65.2,80.2,1
17.2,62.4,52.9,1
14.2,100.0,61.9,1
15.1,83.6,51.2,1
15.0,100.0,41.8,1
22.6,87.5,85.7,1
13.3,77.7,74.3,1
21.5,72.4,38.9,1
